strain,date,image,bit,mt,cp,Venus mean,Venus sd,MitoTracker mean,MitoTracker sd,Chloroplast mean,Chloroplast sd
187,20191125,12,16,no,yes,18937.423,4816.977,2018.741,1241.332,7689.888,5066.588
187,20191125,13,16,no,yes,17255.09,4772.876,2266.64,1283.954,5156.352,3211.511
187,20191125,14,16,no,yes,17070.875,4578.004,2698.546,1461.316,4662.147,2924.802
187,20191125,19,16,no,yes,11947.664,3982.633,1891.098,1195.26,3052.958,4013.862
187,20191125,20,16,no,yes,10376.199,3712.29,1810.879,1206.122,11623.211,4347.143
187,20191125,25,16,no,yes,1080.579,607.722,566.178,394.247,6335.993,1420.733
187,20191125,26,16,no,yes,1171.733,756.209,684.669,526.457,9369.069,1890.298
187,20191125,27,16,no,yes,1062.886,605.345,765.08,587.754,5117.961,1177.325
187,20191125,28,16,no,yes,1186.635,778.209,1609.593,1193.518,8675.457,2128.192
187,20191125,30,16,no,yes,4690.389,2318.888,2887.148,1493.638,9743.69,2474.01
187,20191125,31,16,no,yes,5032.983,2384.617,2683.444,1399.059,4799.881,1530.151
